race_id,asset_id,asset_type,fantasy_points
2025_07,alexander_albon,driver,18
2025_07,andrea_kimi_antonelli,driver,-19
2025_07,carlos_sainz,driver,12
2025_07,charles_leclerc,driver,24
2025_07,esteban_ocon,driver,-18
2025_07,fernando_alonso,driver,4
2025_07,franco_colapinto,driver,0
2025_07,gabriel_bortoleto,driver,-2
2025_07,george_russell,driver,15
2025_07,isack_hadjar,driver,6
2025_07,lance_stroll,driver,-2
2025_07,lando_norris,driver,31
2025_07,lewis_hamilton,driver,25
2025_07,liam_lawson,driver,3
2025_07,max_verstappen,driver,57
2025_07,nico_hulkenberg,driver,9
2025_07,oliver_bearman,driver,4
2025_07,oscar_piastri,driver,31
2025_07,pierre_gasly,driver,3
2025_07,yuki_tsunoda,driver,9
2025_07,alpine,constructor,10
2025_07,aston_martin,constructor,14
2025_07,ferrari,constructor,67
2025_07,haas,constructor,-13
2025_07,kick_sauber,constructor,13
2025_07,mclaren,constructor,82
2025_07,mercedes,constructor,6
2025_07,racing_bulls,constructor,24
2025_07,red_bull,constructor,71
2025_07,williams,constructor,42
