race_id,asset_id,asset_type,fantasy_points
2023_08,alexander_albon,driver,22
2023_08,carlos_sainz,driver,22
2023_08,charles_leclerc,driver,19
2023_08,esteban_ocon,driver,11
2023_08,fernando_alonso,driver,27
2023_08,george_russell,driver,-12
2023_08,guanyu_zhou,driver,4
2023_08,kevin_magnussen,driver,0
2023_08,lance_stroll,driver,14
2023_08,lando_norris,driver,2
2023_08,lewis_hamilton,driver,23
2023_08,logan_sargeant,driver,-19
2023_08,max_verstappen,driver,35
2023_08,nico_hulkenberg,driver,-1
2023_08,nyck_de_vries,driver,-1
2023_08,oscar_piastri,driver,3
2023_08,pierre_gasly,driver,8
2023_08,sergio_perez,driver,28
2023_08,valtteri_bottas,driver,6
2023_08,yuki_tsunoda,driver,8
2023_08,alfa_romeo,constructor,11
2023_08,alphatauri,constructor,6
2023_08,alpine,constructor,24
2023_08,aston_martin,constructor,46
2023_08,ferrari,constructor,46
2023_08,haas,constructor,4
2023_08,mclaren,constructor,15
2023_08,mercedes,constructor,21
2023_08,red_bull,constructor,86
2023_08,williams,constructor,-2
