race_id,asset_id,asset_type,fantasy_points
2023_19,alexander_albon,driver,13
2023_19,carlos_sainz,driver,19
2023_19,charles_leclerc,driver,24
2023_19,daniel_ricciardo,driver,12
2023_19,esteban_ocon,driver,10
2023_19,fernando_alonso,driver,-16
2023_19,george_russell,driver,18
2023_19,guanyu_zhou,driver,2
2023_19,kevin_magnussen,driver,-16
2023_19,lance_stroll,driver,8
2023_19,lando_norris,driver,48
2023_19,lewis_hamilton,driver,41
2023_19,logan_sargeant,driver,6
2023_19,max_verstappen,driver,42
2023_19,nico_hulkenberg,driver,8
2023_19,oscar_piastri,driver,14
2023_19,pierre_gasly,driver,10
2023_19,sergio_perez,driver,-10
2023_19,valtteri_bottas,driver,2
2023_19,yuki_tsunoda,driver,20
2023_19,alfa_romeo,constructor,14
2023_19,alphatauri,constructor,42
2023_19,alpine,constructor,21
2023_19,aston_martin,constructor,-7
2023_19,ferrari,constructor,63
2023_19,haas,constructor,-7
2023_19,mclaren,constructor,57
2023_19,mercedes,constructor,69
2023_19,red_bull,constructor,45
2023_19,williams,constructor,20
