race_id,asset_id,asset_type,fantasy_points
2023_10,alexander_albon,driver,8
2023_10,carlos_sainz,driver,4
2023_10,charles_leclerc,driver,6
2023_10,esteban_ocon,driver,-18
2023_10,fernando_alonso,driver,12
2023_10,george_russell,driver,18
2023_10,guanyu_zhou,driver,6
2023_10,kevin_magnussen,driver,-19
2023_10,lance_stroll,driver,2
2023_10,lando_norris,driver,38
2023_10,lewis_hamilton,driver,25
2023_10,logan_sargeant,driver,6
2023_10,max_verstappen,driver,46
2023_10,nico_hulkenberg,driver,0
2023_10,nyck_de_vries,driver,3
2023_10,oscar_piastri,driver,20
2023_10,pierre_gasly,driver,-3
2023_10,sergio_perez,driver,26
2023_10,valtteri_bottas,driver,-5
2023_10,yuki_tsunoda,driver,3
2023_10,alfa_romeo,constructor,-5
2023_10,alphatauri,constructor,5
2023_10,alpine,constructor,-16
2023_10,aston_martin,constructor,22
2023_10,ferrari,constructor,25
2023_10,haas,constructor,-18
2023_10,mclaren,constructor,68
2023_10,mercedes,constructor,53
2023_10,red_bull,constructor,77
2023_10,williams,constructor,19
