race_id,asset_id,asset_type,fantasy_points
2024_05,alexander_albon,driver,11
2024_05,carlos_sainz,driver,30
2024_05,charles_leclerc,driver,34
2024_05,daniel_ricciardo,driver,-9
2024_05,esteban_ocon,driver,12
2024_05,fernando_alonso,driver,15
2024_05,george_russell,driver,27
2024_05,guanyu_zhou,driver,13
2024_05,kevin_magnussen,driver,17
2024_05,lance_stroll,driver,9
2024_05,lando_norris,driver,36
2024_05,lewis_hamilton,driver,30
2024_05,logan_sargeant,driver,8
2024_05,max_verstappen,driver,58
2024_05,nico_hulkenberg,driver,4
2024_05,oscar_piastri,driver,12
2024_05,pierre_gasly,driver,13
2024_05,sergio_perez,driver,40
2024_05,valtteri_bottas,driver,-14
2024_05,yuki_tsunoda,driver,-6
2024_05,alpine,constructor,28
2024_05,aston_martin,constructor,29
2024_05,ferrari,constructor,74
2024_05,haas,constructor,26
2024_05,kick_sauber,constructor,4
2024_05,mclaren,constructor,48
2024_05,mercedes,constructor,62
2024_05,racing_bulls,constructor,-14
2024_05,red_bull,constructor,126
2024_05,williams,constructor,20
