race_id,asset_id,asset_type,fantasy_points
2025_10,alexander_albon,driver,-16
2025_10,andrea_kimi_antonelli,driver,35
2025_10,carlos_sainz,driver,13
2025_10,charles_leclerc,driver,17
2025_10,esteban_ocon,driver,10
2025_10,fernando_alonso,driver,22
2025_10,franco_colapinto,driver,2
2025_10,gabriel_bortoleto,driver,5
2025_10,george_russell,driver,47
2025_10,isack_hadjar,driver,1
2025_10,lance_stroll,driver,2
2025_10,lando_norris,driver,-2
2025_10,lewis_hamilton,driver,15
2025_10,liam_lawson,driver,-20
2025_10,max_verstappen,driver,29
2025_10,nico_hulkenberg,driver,15
2025_10,oliver_bearman,driver,7
2025_10,oscar_piastri,driver,22
2025_10,pierre_gasly,driver,6
2025_10,yuki_tsunoda,driver,12
2025_10,alpine,constructor,11
2025_10,aston_martin,constructor,31
2025_10,ferrari,constructor,57
2025_10,haas,constructor,22
2025_10,kick_sauber,constructor,26
2025_10,mclaren,constructor,40
2025_10,mercedes,constructor,87
2025_10,racing_bulls,constructor,-4
2025_10,red_bull,constructor,51
2025_10,williams,constructor,4
