race_id,asset_id,asset_type,fantasy_points
2024_01,alexander_albon,driver,0
2024_01,carlos_sainz,driver,36
2024_01,charles_leclerc,driver,22
2024_01,daniel_ricciardo,driver,5
2024_01,esteban_ocon,driver,7
2024_01,fernando_alonso,driver,7
2024_01,george_russell,driver,20
2024_01,guanyu_zhou,driver,11
2024_01,kevin_magnussen,driver,7
2024_01,lance_stroll,driver,8
2024_01,lando_norris,driver,16
2024_01,lewis_hamilton,driver,12
2024_01,logan_sargeant,driver,3
2024_01,max_verstappen,driver,45
2024_01,nico_hulkenberg,driver,-3
2024_01,oscar_piastri,driver,10
2024_01,pierre_gasly,driver,6
2024_01,sergio_perez,driver,31
2024_01,valtteri_bottas,driver,0
2024_01,yuki_tsunoda,driver,-1
2024_01,alpine,constructor,12
2024_01,aston_martin,constructor,20
2024_01,ferrari,constructor,73
2024_01,haas,constructor,9
2024_01,kick_sauber,constructor,10
2024_01,mclaren,constructor,36
2024_01,mercedes,constructor,42
2024_01,racing_bulls,constructor,7
2024_01,red_bull,constructor,89
2024_01,williams,constructor,4
