race_id,asset_id,asset_type,fantasy_points
2023_09,alexander_albon,driver,11
2023_09,carlos_sainz,driver,31
2023_09,charles_leclerc,driver,32
2023_09,esteban_ocon,driver,9
2023_09,fernando_alonso,driver,28
2023_09,george_russell,driver,34
2023_09,guanyu_zhou,driver,10
2023_09,kevin_magnussen,driver,13
2023_09,lance_stroll,driver,25
2023_09,lando_norris,driver,29
2023_09,lewis_hamilton,driver,31
2023_09,logan_sargeant,driver,19
2023_09,max_verstappen,driver,56
2023_09,nico_hulkenberg,driver,-4
2023_09,nyck_de_vries,driver,9
2023_09,oscar_piastri,driver,20
2023_09,pierre_gasly,driver,7
2023_09,sergio_perez,driver,51
2023_09,valtteri_bottas,driver,5
2023_09,yuki_tsunoda,driver,4
2023_09,alfa_romeo,constructor,16
2023_09,alphatauri,constructor,20
2023_09,alpine,constructor,21
2023_09,aston_martin,constructor,63
2023_09,ferrari,constructor,73
2023_09,haas,constructor,14
2023_09,mclaren,constructor,54
2023_09,mercedes,constructor,70
2023_09,red_bull,constructor,112
2023_09,williams,constructor,35
