race_id,asset_id,asset_type,fantasy_points
2024_18,alexander_albon,driver,-16
2024_18,carlos_sainz,driver,18
2024_18,charles_leclerc,driver,21
2024_18,daniel_ricciardo,driver,23
2024_18,esteban_ocon,driver,6
2024_18,fernando_alonso,driver,9
2024_18,franco_colapinto,driver,6
2024_18,george_russell,driver,19
2024_18,guanyu_zhou,driver,6
2024_18,kevin_magnussen,driver,-1
2024_18,lance_stroll,driver,4
2024_18,lando_norris,driver,35
2024_18,lewis_hamilton,driver,17
2024_18,max_verstappen,driver,28
2024_18,nico_hulkenberg,driver,6
2024_18,oscar_piastri,driver,26
2024_18,pierre_gasly,driver,4
2024_18,sergio_perez,driver,9
2024_18,valtteri_bottas,driver,3
2024_18,yuki_tsunoda,driver,4
2024_18,alpine,constructor,11
2024_18,aston_martin,constructor,18
2024_18,ferrari,constructor,49
2024_18,haas,constructor,10
2024_18,kick_sauber,constructor,8
2024_18,mclaren,constructor,81
2024_18,mercedes,constructor,49
2024_18,racing_bulls,constructor,22
2024_18,red_bull,constructor,47
2024_18,williams,constructor,-7
