race_id,asset_id,asset_type,fantasy_points
2025_09,alexander_albon,driver,-18
2025_09,andrea_kimi_antonelli,driver,-12
2025_09,carlos_sainz,driver,7
2025_09,charles_leclerc,driver,27
2025_09,esteban_ocon,driver,3
2025_09,fernando_alonso,driver,14
2025_09,franco_colapinto,driver,6
2025_09,gabriel_bortoleto,driver,4
2025_09,george_russell,driver,21
2025_09,isack_hadjar,driver,16
2025_09,lance_stroll,driver,-20
2025_09,lando_norris,driver,28
2025_09,lewis_hamilton,driver,14
2025_09,liam_lawson,driver,9
2025_09,max_verstappen,driver,17
2025_09,nico_hulkenberg,driver,32
2025_09,oliver_bearman,driver,0
2025_09,oscar_piastri,driver,45
2025_09,pierre_gasly,driver,10
2025_09,yuki_tsunoda,driver,11
2025_09,alpine,constructor,31
2025_09,aston_martin,constructor,1
2025_09,ferrari,constructor,61
2025_09,haas,constructor,6
2025_09,kick_sauber,constructor,52
2025_09,mclaren,constructor,88
2025_09,mercedes,constructor,24
2025_09,racing_bulls,constructor,35
2025_09,red_bull,constructor,28
2025_09,williams,constructor,-8
