race_id,asset_id,asset_type,fantasy_points
2025_18,alexander_albon,driver,6
2025_18,andrea_kimi_antonelli,driver,17
2025_18,carlos_sainz,driver,8
2025_18,charles_leclerc,driver,16
2025_18,esteban_ocon,driver,2
2025_18,fernando_alonso,driver,30
2025_18,franco_colapinto,driver,3
2025_18,gabriel_bortoleto,driver,-1
2025_18,george_russell,driver,35
2025_18,isack_hadjar,driver,3
2025_18,lance_stroll,driver,10
2025_18,lando_norris,driver,25
2025_18,lewis_hamilton,driver,17
2025_18,liam_lawson,driver,3
2025_18,max_verstappen,driver,27
2025_18,nico_hulkenberg,driver,-8
2025_18,oliver_bearman,driver,6
2025_18,oscar_piastri,driver,19
2025_18,pierre_gasly,driver,2
2025_18,yuki_tsunoda,driver,4
2025_18,alpine,constructor,6
2025_18,aston_martin,constructor,37
2025_18,ferrari,constructor,48
2025_18,haas,constructor,15
2025_18,kick_sauber,constructor,-4
2025_18,mclaren,constructor,64
2025_18,mercedes,constructor,67
2025_18,racing_bulls,constructor,16
2025_18,red_bull,constructor,51
2025_18,williams,constructor,5
