race_id,asset_id,asset_type,fantasy_points
2024_17,alexander_albon,driver,12
2024_17,carlos_sainz,driver,-4
2024_17,charles_leclerc,driver,28
2024_17,daniel_ricciardo,driver,2
2024_17,esteban_ocon,driver,7
2024_17,fernando_alonso,driver,14
2024_17,franco_colapinto,driver,9
2024_17,george_russell,driver,26
2024_17,guanyu_zhou,driver,7
2024_17,lance_stroll,driver,-3
2024_17,lando_norris,driver,38
2024_17,lewis_hamilton,driver,26
2024_17,max_verstappen,driver,18
2024_17,nico_hulkenberg,driver,6
2024_17,oliver_bearman,driver,7
2024_17,oscar_piastri,driver,47
2024_17,pierre_gasly,driver,-4
2024_17,sergio_perez,driver,-2
2024_17,valtteri_bottas,driver,1
2024_17,yuki_tsunoda,driver,-19
2024_17,alpine,constructor,2
2024_17,aston_martin,constructor,16
2024_17,ferrari,constructor,34
2024_17,haas,constructor,16
2024_17,kick_sauber,constructor,17
2024_17,mclaren,constructor,85
2024_17,mercedes,constructor,65
2024_17,racing_bulls,constructor,-14
2024_17,red_bull,constructor,26
2024_17,williams,constructor,31
