race_id,asset_id,asset_type,fantasy_points
2026_02,alexander_albon,driver,-7
2026_02,andrea_kimi_antonelli,driver,68
2026_02,arvid_lindblad,driver,7
2026_02,carlos_sainz,driver,28
2026_02,charles_leclerc,driver,51
2026_02,esteban_ocon,driver,24
2026_02,fernando_alonso,driver,-7
2026_02,franco_colapinto,driver,18
2026_02,gabriel_bortoleto,driver,-14
2026_02,george_russell,driver,45
2026_02,isack_hadjar,driver,19
2026_02,lance_stroll,driver,-14
2026_02,lando_norris,driver,-10
2026_02,lewis_hamilton,driver,48
2026_02,liam_lawson,driver,35
2026_02,max_verstappen,driver,14
2026_02,nico_hulkenberg,driver,7
2026_02,oliver_bearman,driver,34
2026_02,oscar_piastri,driver,-7
2026_02,pierre_gasly,driver,20
2026_02,sergio_perez,driver,20
2026_02,valtteri_bottas,driver,3
2026_02,alpine,constructor,45
2026_02,aston_martin,constructor,-20
2026_02,audi,constructor,-4
2026_02,cadillac,constructor,22
2026_02,ferrari,constructor,119
2026_02,haas,constructor,65
2026_02,mclaren,constructor,-7
2026_02,mercedes,constructor,115
2026_02,racing_bulls,constructor,50
2026_02,red_bull,constructor,45
2026_02,williams,constructor,22
