race_id,asset_id,asset_type,fantasy_points
2025_02,alexander_albon,driver,11
2025_02,andrea_kimi_antonelli,driver,29
2025_02,carlos_sainz,driver,8
2025_02,charles_leclerc,driver,-12
2025_02,esteban_ocon,driver,24
2025_02,fernando_alonso,driver,-16
2025_02,gabriel_bortoleto,driver,7
2025_02,george_russell,driver,35
2025_02,isack_hadjar,driver,11
2025_02,jack_doohan,driver,11
2025_02,lance_stroll,driver,17
2025_02,lando_norris,driver,41
2025_02,lewis_hamilton,driver,-1
2025_02,liam_lawson,driver,22
2025_02,max_verstappen,driver,30
2025_02,nico_hulkenberg,driver,2
2025_02,oliver_bearman,driver,20
2025_02,oscar_piastri,driver,45
2025_02,pierre_gasly,driver,-8
2025_02,yuki_tsunoda,driver,6
2025_02,alpine,constructor,-6
2025_02,aston_martin,constructor,4
2025_02,ferrari,constructor,-23
2025_02,haas,constructor,47
2025_02,kick_sauber,constructor,12
2025_02,mclaren,constructor,101
2025_02,mercedes,constructor,69
2025_02,racing_bulls,constructor,42
2025_02,red_bull,constructor,67
2025_02,williams,constructor,26
