race_id,asset_id,asset_type,fantasy_points
2023_13,alexander_albon,driver,17
2023_13,carlos_sainz,driver,31
2023_13,charles_leclerc,driver,-7
2023_13,esteban_ocon,driver,26
2023_13,fernando_alonso,driver,62
2023_13,george_russell,driver,6
2023_13,guanyu_zhou,driver,-9
2023_13,kevin_magnussen,driver,14
2023_13,lance_stroll,driver,10
2023_13,lando_norris,driver,25
2023_13,lewis_hamilton,driver,29
2023_13,liam_lawson,driver,19
2023_13,logan_sargeant,driver,-18
2023_13,max_verstappen,driver,46
2023_13,nico_hulkenberg,driver,11
2023_13,oscar_piastri,driver,18
2023_13,pierre_gasly,driver,39
2023_13,sergio_perez,driver,30
2023_13,valtteri_bottas,driver,14
2023_13,yuki_tsunoda,driver,16
2023_13,alfa_romeo,constructor,4
2023_13,alphatauri,constructor,40
2023_13,alpine,constructor,66
2023_13,aston_martin,constructor,67
2023_13,ferrari,constructor,34
2023_13,haas,constructor,26
2023_13,mclaren,constructor,56
2023_13,mercedes,constructor,40
2023_13,red_bull,constructor,101
2023_13,williams,constructor,9
