race_id,asset_id,asset_type,fantasy_points
2023_11,alexander_albon,driver,8
2023_11,carlos_sainz,driver,12
2023_11,charles_leclerc,driver,12
2023_11,daniel_ricciardo,driver,2
2023_11,esteban_ocon,driver,-19
2023_11,fernando_alonso,driver,7
2023_11,george_russell,driver,27
2023_11,guanyu_zhou,driver,-4
2023_11,kevin_magnussen,driver,5
2023_11,lance_stroll,driver,9
2023_11,lando_norris,driver,29
2023_11,lewis_hamilton,driver,20
2023_11,logan_sargeant,driver,2
2023_11,max_verstappen,driver,46
2023_11,nico_hulkenberg,driver,0
2023_11,oscar_piastri,driver,18
2023_11,pierre_gasly,driver,-19
2023_11,sergio_perez,driver,39
2023_11,valtteri_bottas,driver,0
2023_11,yuki_tsunoda,driver,5
2023_11,alfa_romeo,constructor,6
2023_11,alphatauri,constructor,8
2023_11,alpine,constructor,-35
2023_11,aston_martin,constructor,21
2023_11,ferrari,constructor,32
2023_11,haas,constructor,10
2023_11,mclaren,constructor,62
2023_11,mercedes,constructor,52
2023_11,red_bull,constructor,95
2023_11,williams,constructor,9
