race_id,asset_id,asset_type,fantasy_points
2024_04,alexander_albon,driver,-20
2024_04,carlos_sainz,driver,28
2024_04,charles_leclerc,driver,31
2024_04,daniel_ricciardo,driver,-19
2024_04,esteban_ocon,driver,5
2024_04,fernando_alonso,driver,14
2024_04,george_russell,driver,13
2024_04,guanyu_zhou,driver,-17
2024_04,kevin_magnussen,driver,9
2024_04,lance_stroll,driver,13
2024_04,lando_norris,driver,19
2024_04,lewis_hamilton,driver,5
2024_04,logan_sargeant,driver,9
2024_04,max_verstappen,driver,47
2024_04,nico_hulkenberg,driver,10
2024_04,oscar_piastri,driver,10
2024_04,pierre_gasly,driver,5
2024_04,sergio_perez,driver,33
2024_04,valtteri_bottas,driver,8
2024_04,yuki_tsunoda,driver,10
2024_04,alpine,constructor,11
2024_04,aston_martin,constructor,32
2024_04,ferrari,constructor,59
2024_04,haas,constructor,20
2024_04,kick_sauber,constructor,-8
2024_04,mclaren,constructor,39
2024_04,mercedes,constructor,28
2024_04,racing_bulls,constructor,-4
2024_04,red_bull,constructor,108
2024_04,williams,constructor,-10
