race_id,asset_id,asset_type,fantasy_points
2026_05,alexander_albon,driver,-8
2026_05,andrea_kimi_antonelli,driver,62
2026_05,arvid_lindblad,driver,-16
2026_05,carlos_sainz,driver,11
2026_05,charles_leclerc,driver,27
2026_05,esteban_ocon,driver,8
2026_05,fernando_alonso,driver,-26
2026_05,franco_colapinto,driver,25
2026_05,gabriel_bortoleto,driver,5
2026_05,george_russell,driver,4
2026_05,isack_hadjar,driver,6
2026_05,lance_stroll,driver,11
2026_05,lando_norris,driver,6
2026_05,lewis_hamilton,driver,42
2026_05,liam_lawson,driver,23
2026_05,max_verstappen,driver,26
2026_05,nico_hulkenberg,driver,1
2026_05,oliver_bearman,driver,10
2026_05,oscar_piastri,driver,12
2026_05,pierre_gasly,driver,16
2026_05,sergio_perez,driver,-11
2026_05,valtteri_bottas,driver,12
2026_05,alpine,constructor,46
2026_05,aston_martin,constructor,-14
2026_05,audi,constructor,11
2026_05,cadillac,constructor,2
2026_05,ferrari,constructor,69
2026_05,haas,constructor,19
2026_05,mclaren,constructor,33
2026_05,mercedes,constructor,76
2026_05,racing_bulls,constructor,22
2026_05,red_bull,constructor,44
2026_05,williams,constructor,6
