race_id,asset_id,asset_type,price
2024_17,alexander_albon,driver,8.5
2024_17,carlos_sainz,driver,23.2
2024_17,charles_leclerc,driver,24.9
2024_17,daniel_ricciardo,driver,11.1
2024_17,esteban_ocon,driver,11.3
2024_17,fernando_alonso,driver,16.2
2024_17,franco_colapinto,driver,5.3
2024_17,george_russell,driver,21.1
2024_17,lance_stroll,driver,14.7
2024_17,lando_norris,driver,26.6
2024_17,lewis_hamilton,driver,24.5
2024_17,max_verstappen,driver,31.4
2024_17,nico_hulkenberg,driver,9.7
2024_17,oliver_bearman,driver,13.3
2024_17,oscar_piastri,driver,24.2
2024_17,pierre_gasly,driver,10
2024_17,sergio_perez,driver,23.5
2024_17,valtteri_bottas,driver,7.3
2024_17,yuki_tsunoda,driver,10.5
2024_17,guanyu_zhou,driver,6.8
2024_17,alpine,constructor,11.2
2024_17,aston_martin,constructor,15.4
2024_17,ferrari,constructor,24.3
2024_17,haas,constructor,10.6
2024_17,kick_sauber,constructor,6.4
2024_17,mclaren,constructor,26.2
2024_17,mercedes,constructor,23.4
2024_17,racing_bulls,constructor,12
2024_17,red_bull,constructor,29.2
2024_17,williams,constructor,6.7
