race_id,asset_id,asset_type,price
2025_11,alexander_albon,driver,12.4
2025_11,andrea_kimi_antonelli,driver,18.3
2025_11,carlos_sainz,driver,8.3
2025_11,charles_leclerc,driver,24.3
2025_11,esteban_ocon,driver,7.7
2025_11,fernando_alonso,driver,5.1
2025_11,franco_colapinto,driver,4.7
2025_11,gabriel_bortoleto,driver,4.5
2025_11,george_russell,driver,22
2025_11,isack_hadjar,driver,6.7
2025_11,lance_stroll,driver,8.5
2025_11,lando_norris,driver,31
2025_11,lewis_hamilton,driver,23.6
2025_11,liam_lawson,driver,4.8
2025_11,max_verstappen,driver,29.2
2025_11,nico_hulkenberg,driver,7.2
2025_11,oliver_bearman,driver,6.7
2025_11,oscar_piastri,driver,25.2
2025_11,pierre_gasly,driver,5.8
2025_11,yuki_tsunoda,driver,13.2
2025_11,alpine,constructor,8.3
2025_11,aston_martin,constructor,8.9
2025_11,ferrari,constructor,29.1
2025_11,haas,constructor,10.2
2025_11,kick_sauber,constructor,6.9
2025_11,mclaren,constructor,33
2025_11,mercedes,constructor,24.7
2025_11,racing_bulls,constructor,12.4
2025_11,red_bull,constructor,27.8
2025_11,williams,constructor,16.7
