race_id,asset_id,asset_type,price
2023_20,alexander_albon,driver,10.8
2023_20,carlos_sainz,driver,19.7
2023_20,charles_leclerc,driver,23.1
2023_20,daniel_ricciardo,driver,5
2023_20,esteban_ocon,driver,11.5
2023_20,fernando_alonso,driver,15.2
2023_20,george_russell,driver,20.2
2023_20,kevin_magnussen,driver,9.8
2023_20,lance_stroll,driver,11.5
2023_20,lando_norris,driver,18
2023_20,lewis_hamilton,driver,25
2023_20,logan_sargeant,driver,5.3
2023_20,max_verstappen,driver,29.5
2023_20,nico_hulkenberg,driver,5.7
2023_20,oscar_piastri,driver,13.9
2023_20,pierre_gasly,driver,13
2023_20,sergio_perez,driver,20.4
2023_20,valtteri_bottas,driver,9.7
2023_20,yuki_tsunoda,driver,6.9
2023_20,guanyu_zhou,driver,7.2
2023_20,alfa_romeo,constructor,6.7
2023_20,alphatauri,constructor,7.2
2023_20,alpine,constructor,12.7
2023_20,aston_martin,constructor,12
2023_20,ferrari,constructor,24.3
2023_20,haas,constructor,7.4
2023_20,mclaren,constructor,16.4
2023_20,mercedes,constructor,25.9
2023_20,red_bull,constructor,29.4
2023_20,williams,constructor,7.3
