race_id,asset_id,asset_type,price
2023_14,alexander_albon,driver,7.9
2023_14,carlos_sainz,driver,17.3
2023_14,charles_leclerc,driver,22.3
2023_14,esteban_ocon,driver,10.7
2023_14,fernando_alonso,driver,11.9
2023_14,george_russell,driver,19.4
2023_14,kevin_magnussen,driver,7.3
2023_14,lance_stroll,driver,9.6
2023_14,lando_norris,driver,14.4
2023_14,lewis_hamilton,driver,25.1
2023_14,liam_lawson,driver,5
2023_14,logan_sargeant,driver,4.5
2023_14,max_verstappen,driver,28.5
2023_14,nico_hulkenberg,driver,4.3
2023_14,oscar_piastri,driver,9
2023_14,pierre_gasly,driver,9
2023_14,sergio_perez,driver,20.1
2023_14,valtteri_bottas,driver,7.9
2023_14,yuki_tsunoda,driver,5.1
2023_14,guanyu_zhou,driver,5.7
2023_14,alfa_romeo,constructor,6.4
2023_14,alphatauri,constructor,6
2023_14,alpine,constructor,10.8
2023_14,aston_martin,constructor,10
2023_14,ferrari,constructor,23.1
2023_14,haas,constructor,5.4
2023_14,mclaren,constructor,11.8
2023_14,mercedes,constructor,25.5
2023_14,red_bull,constructor,28.7
2023_14,williams,constructor,6
