race_id,asset_id,asset_type,price
2025_08,alexander_albon,driver,13.4
2025_08,andrea_kimi_antonelli,driver,19.2
2025_08,carlos_sainz,driver,9.3
2025_08,charles_leclerc,driver,24
2025_08,esteban_ocon,driver,8.7
2025_08,fernando_alonso,driver,5
2025_08,franco_colapinto,driver,4.5
2025_08,gabriel_bortoleto,driver,4.5
2025_08,george_russell,driver,22.3
2025_08,isack_hadjar,driver,5.3
2025_08,lance_stroll,driver,9.5
2025_08,lando_norris,driver,30.7
2025_08,lewis_hamilton,driver,23.7
2025_08,liam_lawson,driver,5.4
2025_08,max_verstappen,driver,29.1
2025_08,nico_hulkenberg,driver,6.2
2025_08,oliver_bearman,driver,8.1
2025_08,oscar_piastri,driver,24.3
2025_08,pierre_gasly,driver,7.6
2025_08,yuki_tsunoda,driver,14.6
2025_08,alpine,constructor,7.7
2025_08,aston_martin,constructor,9.5
2025_08,ferrari,constructor,28.2
2025_08,haas,constructor,10
2025_08,kick_sauber,constructor,5.1
2025_08,mclaren,constructor,32.1
2025_08,mercedes,constructor,24.8
2025_08,racing_bulls,constructor,10.6
2025_08,red_bull,constructor,26.9
2025_08,williams,constructor,16.5
