race_id,asset_id,asset_type,price
2023_08,alexander_albon,driver,5
2023_08,carlos_sainz,driver,17.2
2023_08,charles_leclerc,driver,21.2
2023_08,esteban_ocon,driver,9.4
2023_08,fernando_alonso,driver,9.4
2023_08,george_russell,driver,18.6
2023_08,kevin_magnussen,driver,6.4
2023_08,lance_stroll,driver,7.6
2023_08,lando_norris,driver,11
2023_08,lewis_hamilton,driver,23.9
2023_08,logan_sargeant,driver,3.5
2023_08,max_verstappen,driver,27.5
2023_08,nico_hulkenberg,driver,3.9
2023_08,nyck_de_vries,driver,4.6
2023_08,oscar_piastri,driver,6.6
2023_08,pierre_gasly,driver,8.1
2023_08,sergio_perez,driver,18.4
2023_08,valtteri_bottas,driver,7.5
2023_08,yuki_tsunoda,driver,4.6
2023_08,guanyu_zhou,driver,4.7
2023_08,alfa_romeo,constructor,5.9
2023_08,alphatauri,constructor,6
2023_08,alpine,constructor,10
2023_08,aston_martin,constructor,7
2023_08,ferrari,constructor,22.2
2023_08,haas,constructor,5
2023_08,mclaren,constructor,8.9
2023_08,mercedes,constructor,25.2
2023_08,red_bull,constructor,27.8
2023_08,williams,constructor,4.6
