race_id,asset_id,asset_type,price
2024_20,alexander_albon,driver,9.3
2024_20,carlos_sainz,driver,23.3
2024_20,charles_leclerc,driver,25.5
2024_20,esteban_ocon,driver,12.8
2024_20,fernando_alonso,driver,15.9
2024_20,franco_colapinto,driver,6.8
2024_20,george_russell,driver,22
2024_20,kevin_magnussen,driver,12.9
2024_20,lance_stroll,driver,14.3
2024_20,lando_norris,driver,27.1
2024_20,lewis_hamilton,driver,24.4
2024_20,liam_lawson,driver,10.7
2024_20,max_verstappen,driver,31.7
2024_20,nico_hulkenberg,driver,11.2
2024_20,oscar_piastri,driver,25.4
2024_20,pierre_gasly,driver,9.5
2024_20,sergio_perez,driver,23.2
2024_20,valtteri_bottas,driver,7
2024_20,yuki_tsunoda,driver,10.1
2024_20,guanyu_zhou,driver,7.7
2024_20,alpine,constructor,10.9
2024_20,aston_martin,constructor,15.3
2024_20,ferrari,constructor,25
2024_20,haas,constructor,11.5
2024_20,kick_sauber,constructor,6.7
2024_20,mclaren,constructor,26.6
2024_20,mercedes,constructor,24.1
2024_20,racing_bulls,constructor,12.8
2024_20,red_bull,constructor,29.4
2024_20,williams,constructor,6.9
