race_id,asset_id,asset_type,price
2025_13,alexander_albon,driver,11.2
2025_13,andrea_kimi_antonelli,driver,17.1
2025_13,carlos_sainz,driver,7.1
2025_13,charles_leclerc,driver,24.1
2025_13,esteban_ocon,driver,8.9
2025_13,fernando_alonso,driver,6.3
2025_13,franco_colapinto,driver,4.5
2025_13,gabriel_bortoleto,driver,4.9
2025_13,george_russell,driver,22.4
2025_13,isack_hadjar,driver,6.3
2025_13,lance_stroll,driver,8.5
2025_13,lando_norris,driver,30.8
2025_13,lewis_hamilton,driver,23.4
2025_13,liam_lawson,driver,4.5
2025_13,max_verstappen,driver,28.6
2025_13,nico_hulkenberg,driver,8.4
2025_13,oliver_bearman,driver,7.5
2025_13,oscar_piastri,driver,25.8
2025_13,pierre_gasly,driver,6.6
2025_13,yuki_tsunoda,driver,12.4
2025_13,alpine,constructor,9.5
2025_13,aston_martin,constructor,10.1
2025_13,ferrari,constructor,29.7
2025_13,haas,constructor,11.4
2025_13,kick_sauber,constructor,8.1
2025_13,mclaren,constructor,33.6
2025_13,mercedes,constructor,25.3
2025_13,racing_bulls,constructor,12.4
2025_13,red_bull,constructor,28
2025_13,williams,constructor,15.5
