race_id,driver_id
2023_01,fernando_alonso
2023_02,max_verstappen
2023_03,sergio_perez
2023_04,sergio_perez
2023_05,max_verstappen
2023_07,esteban_ocon
2023_08,lewis_hamilton
2023_09,alexander_albon
2023_10,lando_norris
2023_11,lando_norris
2023_12,sergio_perez
2023_13,max_verstappen
2023_14,fernando_alonso
2023_15,carlos_sainz
2023_16,carlos_sainz
2023_17,oscar_piastri
2023_18,oscar_piastri
2023_19,lando_norris
2023_20,lando_norris
2023_21,lando_norris
2023_22,charles_leclerc
2023_23,yuki_tsunoda
