race_id,driver_id
2025_01,lando_norris
2025_02,andrea_kimi_antonelli
2025_03,yuki_tsunoda
2025_04,lewis_hamilton
2025_05,max_verstappen
2025_06,oscar_piastri
2025_07,max_verstappen
2025_08,charles_leclerc
2025_09,max_verstappen
2025_10,andrea_kimi_antonelli
2025_11,gabriel_bortoleto
2025_12,nico_hulkenberg
2025_13,lewis_hamilton
2025_14,gabriel_bortoleto
2025_15,isack_hadjar
2025_16,max_verstappen
2025_17,carlos_sainz
2025_18,fernando_alonso
2025_19,charles_leclerc
2025_20,oliver_bearman
2025_21,max_verstappen
2025_22,max_verstappen
2025_23,max_verstappen
2025_24,max_verstappen
