asset_id,asset_type,price
alexander_albon,driver,12.0
andrea_kimi_antonelli,driver,18.4
carlos_sainz,driver,13.1
charles_leclerc,driver,25.9
esteban_ocon,driver,7.3
fernando_alonso,driver,8.8
gabriel_bortoleto,driver,6.0
george_russell,driver,21.0
isack_hadjar,driver,6.2
jack_doohan,driver,7.2
lance_stroll,driver,8.1
lando_norris,driver,29.0
lewis_hamilton,driver,24.2
liam_lawson,driver,18.0
max_verstappen,driver,28.4
nico_hulkenberg,driver,6.4
oliver_bearman,driver,6.7
oscar_piastri,driver,23.0
pierre_gasly,driver,11.8
yuki_tsunoda,driver,9.6
alpine,constructor,9.5
aston_martin,constructor,8.5
ferrari,constructor,27.1
haas,constructor,7.0
kick_sauber,constructor,6.2
mclaren,constructor,30.0
mercedes,constructor,22.7
racing_bulls,constructor,8.0
red_bull,constructor,25.2
williams,constructor,13.1
