asset_id,asset_type,price
alexander_albon,driver,11.6
andrea_kimi_antonelli,driver,23.2
arvid_lindblad,driver,6.2
carlos_sainz,driver,11.8
charles_leclerc,driver,22.8
esteban_ocon,driver,7.3
fernando_alonso,driver,10.0
franco_colapinto,driver,6.2
gabriel_bortoleto,driver,6.4
george_russell,driver,27.4
isack_hadjar,driver,15.1
lance_stroll,driver,8.0
lando_norris,driver,27.2
lewis_hamilton,driver,22.5
liam_lawson,driver,6.5
max_verstappen,driver,27.7
nico_hulkenberg,driver,6.8
oliver_bearman,driver,7.4
oscar_piastri,driver,25.5
pierre_gasly,driver,12.0
sergio_perez,driver,6.0
valtteri_bottas,driver,5.9
alpine,constructor,12.5
aston_martin,constructor,10.3
audi,constructor,6.6
cadillac,constructor,6.0
ferrari,constructor,23.3
haas,constructor,7.4
mclaren,constructor,28.9
mercedes,constructor,29.3
racing_bulls,constructor,6.3
red_bull,constructor,28.2
williams,constructor,12.0
