race_id,asset_id,asset_type,price
2025_07,alexander_albon,driver,12.8
2025_07,andrea_kimi_antonelli,driver,19.5
2025_07,carlos_sainz,driver,9.5
2025_07,charles_leclerc,driver,24.3
2025_07,esteban_ocon,driver,9.3
2025_07,fernando_alonso,driver,5.6
2025_07,franco_colapinto,driver,4.5
2025_07,gabriel_bortoleto,driver,4.5
2025_07,george_russell,driver,22.2
2025_07,isack_hadjar,driver,5.5
2025_07,lance_stroll,driver,9.7
2025_07,lando_norris,driver,30.4
2025_07,lewis_hamilton,driver,23.6
2025_07,liam_lawson,driver,6
2025_07,max_verstappen,driver,28.8
2025_07,nico_hulkenberg,driver,6
2025_07,oliver_bearman,driver,8.7
2025_07,oscar_piastri,driver,24
2025_07,pierre_gasly,driver,8.2
2025_07,yuki_tsunoda,driver,15.2
2025_07,alpine,constructor,8.3
2025_07,aston_martin,constructor,8.9
2025_07,ferrari,constructor,27.9
2025_07,haas,constructor,10.6
2025_07,kick_sauber,constructor,4.5
2025_07,mclaren,constructor,31.8
2025_07,mercedes,constructor,24.5
2025_07,racing_bulls,constructor,10
2025_07,red_bull,constructor,26.6
2025_07,williams,constructor,15.9
