race_id,asset_id,asset_type,price
2025_14,alexander_albon,driver,10.6
2025_14,andrea_kimi_antonelli,driver,16.5
2025_14,carlos_sainz,driver,6.5
2025_14,charles_leclerc,driver,24
2025_14,esteban_ocon,driver,9.1
2025_14,fernando_alonso,driver,6.9
2025_14,franco_colapinto,driver,4.5
2025_14,gabriel_bortoleto,driver,4.7
2025_14,george_russell,driver,22.3
2025_14,isack_hadjar,driver,5.7
2025_14,lance_stroll,driver,9.1
2025_14,lando_norris,driver,31.1
2025_14,lewis_hamilton,driver,23.7
2025_14,liam_lawson,driver,4.5
2025_14,max_verstappen,driver,28.3
2025_14,nico_hulkenberg,driver,9
2025_14,oliver_bearman,driver,8.1
2025_14,oscar_piastri,driver,26.1
2025_14,pierre_gasly,driver,6
2025_14,yuki_tsunoda,driver,11.8
2025_14,alpine,constructor,8.9
2025_14,aston_martin,constructor,10.7
2025_14,ferrari,constructor,30
2025_14,haas,constructor,12
2025_14,kick_sauber,constructor,8.7
2025_14,mclaren,constructor,33.9
2025_14,mercedes,constructor,25.4
2025_14,racing_bulls,constructor,11.8
2025_14,red_bull,constructor,28.1
2025_14,williams,constructor,14.9
