race_id,asset_id,asset_type,price
2026_04,alexander_albon,driver,10.2
2026_04,andrea_kimi_antonelli,driver,24.1
2026_04,arvid_lindblad,driver,7.6
2026_04,carlos_sainz,driver,12.4
2026_04,charles_leclerc,driver,23.7
2026_04,esteban_ocon,driver,9.1
2026_04,fernando_alonso,driver,8.2
2026_04,franco_colapinto,driver,7.6
2026_04,gabriel_bortoleto,driver,5.8
2026_04,george_russell,driver,28.3
2026_04,isack_hadjar,driver,13.3
2026_04,lance_stroll,driver,6.2
2026_04,lando_norris,driver,26.5
2026_04,lewis_hamilton,driver,23.2
2026_04,liam_lawson,driver,7.5
2026_04,max_verstappen,driver,28.2
2026_04,nico_hulkenberg,driver,5
2026_04,oliver_bearman,driver,9.2
2026_04,oscar_piastri,driver,24.6
2026_04,pierre_gasly,driver,13
2026_04,sergio_perez,driver,7
2026_04,valtteri_bottas,driver,4.1
2026_04,alpine,constructor,14.3
2026_04,aston_martin,constructor,8.5
2026_04,audi,constructor,5.6
2026_04,cadillac,constructor,5
2026_04,ferrari,constructor,24.2
2026_04,haas,constructor,9.2
2026_04,mclaren,constructor,28.6
2026_04,mercedes,constructor,30.2
2026_04,racing_bulls,constructor,8.1
2026_04,red_bull,constructor,29.1
2026_04,williams,constructor,13.8
