race_id,asset_id,asset_type,price
2023_11,alexander_albon,driver,6.4
2023_11,carlos_sainz,driver,17.6
2023_11,charles_leclerc,driver,21.8
2023_11,esteban_ocon,driver,9.9
2023_11,fernando_alonso,driver,10.9
2023_11,george_russell,driver,18.5
2023_11,kevin_magnussen,driver,6.9
2023_11,lance_stroll,driver,8.6
2023_11,lando_norris,driver,11.4
2023_11,lewis_hamilton,driver,24.4
2023_11,logan_sargeant,driver,4
2023_11,max_verstappen,driver,27.9
2023_11,nico_hulkenberg,driver,3.8
2023_11,nyck_de_vries,driver,4.5
2023_11,oscar_piastri,driver,7
2023_11,pierre_gasly,driver,8.6
2023_11,sergio_perez,driver,19
2023_11,valtteri_bottas,driver,7.9
2023_11,yuki_tsunoda,driver,5.1
2023_11,guanyu_zhou,driver,4.7
2023_11,alfa_romeo,constructor,5.9
2023_11,alphatauri,constructor,6
2023_11,alpine,constructor,10.5
2023_11,aston_martin,constructor,8.5
2023_11,ferrari,constructor,22.8
2023_11,haas,constructor,5
2023_11,mclaren,constructor,9.8
2023_11,mercedes,constructor,25.2
2023_11,red_bull,constructor,28.2
2023_11,williams,constructor,5
