race_id,asset_id,asset_type,price
2025_17,alexander_albon,driver,12.4
2025_17,andrea_kimi_antonelli,driver,15.1
2025_17,carlos_sainz,driver,5.1
2025_17,charles_leclerc,driver,23.3
2025_17,esteban_ocon,driver,8.5
2025_17,fernando_alonso,driver,7.9
2025_17,franco_colapinto,driver,4.5
2025_17,gabriel_bortoleto,driver,5.7
2025_17,george_russell,driver,22.6
2025_17,isack_hadjar,driver,6.3
2025_17,lance_stroll,driver,10.5
2025_17,lando_norris,driver,31.2
2025_17,lewis_hamilton,driver,23.2
2025_17,liam_lawson,driver,5.3
2025_17,max_verstappen,driver,28.2
2025_17,nico_hulkenberg,driver,9.2
2025_17,oliver_bearman,driver,6.7
2025_17,oscar_piastri,driver,27
2025_17,pierre_gasly,driver,4.5
2025_17,yuki_tsunoda,driver,10
2025_17,alpine,constructor,7.9
2025_17,aston_martin,constructor,12.5
2025_17,ferrari,constructor,30.5
2025_17,haas,constructor,12.6
2025_17,kick_sauber,constructor,10.5
2025_17,mclaren,constructor,34.8
2025_17,mercedes,constructor,26.3
2025_17,racing_bulls,constructor,12.4
2025_17,red_bull,constructor,29
2025_17,williams,constructor,16.7
