race_id,asset_id,asset_type,price
2026_07,alexander_albon,driver,8.8
2026_07,fernando_alonso,driver,6.8
2026_07,andrea_kimi_antonelli,driver,25.0
2026_07,oliver_bearman,driver,8.2
2026_07,gabriel_bortoleto,driver,5.6
2026_07,valtteri_bottas,driver,3.9
2026_07,franco_colapinto,driver,9.4
2026_07,pierre_gasly,driver,11.6
2026_07,isack_hadjar,driver,11.5
2026_07,lewis_hamilton,driver,23.9
2026_07,nico_hulkenberg,driver,3.5
2026_07,liam_lawson,driver,8.1
2026_07,charles_leclerc,driver,23.8
2026_07,arvid_lindblad,driver,5.8
2026_07,lando_norris,driver,26.2
2026_07,esteban_ocon,driver,10.1
2026_07,sergio_perez,driver,6.8
2026_07,oscar_piastri,driver,25.1
2026_07,george_russell,driver,28.2
2026_07,carlos_sainz,driver,12.6
2026_07,lance_stroll,driver,4.8
2026_07,max_verstappen,driver,28.3

2026_07,alpine,constructor,16.1
2026_07,aston_martin,constructor,7.5
2026_07,audi,constructor,3.8
2026_07,cadillac,constructor,6
2026_07,ferrari,constructor,25.1
2026_07,haas,constructor,10.6
2026_07,mclaren,constructor,29.5
2026_07,mercedes,constructor,31.1
2026_07,racing_bulls,constructor,9.9
2026_07,red_bull,constructor,29.4
2026_07,williams,constructor,15.6
