race_id,asset_id,asset_type,price
2025_05,alexander_albon,driver,12.8
2025_05,andrea_kimi_antonelli,driver,19.7
2025_05,carlos_sainz,driver,10.7
2025_05,charles_leclerc,driver,24.7
2025_05,esteban_ocon,driver,9.3
2025_05,fernando_alonso,driver,6.4
2025_05,gabriel_bortoleto,driver,4.5
2025_05,george_russell,driver,22
2025_05,isack_hadjar,driver,5.1
2025_05,jack_doohan,driver,5.6
2025_05,lance_stroll,driver,9.7
2025_05,lando_norris,driver,30
2025_05,lewis_hamilton,driver,23.2
2025_05,liam_lawson,driver,7.2
2025_05,max_verstappen,driver,28.8
2025_05,nico_hulkenberg,driver,7.2
2025_05,oliver_bearman,driver,7.9
2025_05,oscar_piastri,driver,23.4
2025_05,pierre_gasly,driver,9.4
2025_05,yuki_tsunoda,driver,16.4
2025_05,alpine,constructor,7.9
2025_05,aston_martin,constructor,7.7
2025_05,ferrari,constructor,27.3
2025_05,haas,constructor,9.4
2025_05,kick_sauber,constructor,5.4
2025_05,mclaren,constructor,31.2
2025_05,mercedes,constructor,23.9
2025_05,racing_bulls,constructor,9.2
2025_05,red_bull,constructor,26
2025_05,williams,constructor,14.7
