race_id,asset_id,asset_type,price
2024_13,alexander_albon,driver,9
2024_13,carlos_sainz,driver,22.2
2024_13,charles_leclerc,driver,23
2024_13,daniel_ricciardo,driver,10.9
2024_13,esteban_ocon,driver,10.5
2024_13,fernando_alonso,driver,16.6
2024_13,george_russell,driver,20.9
2024_13,kevin_magnussen,driver,10.8
2024_13,lance_stroll,driver,15.1
2024_13,lando_norris,driver,26.1
2024_13,lewis_hamilton,driver,22.8
2024_13,logan_sargeant,driver,5.2
2024_13,max_verstappen,driver,31
2024_13,nico_hulkenberg,driver,9.7
2024_13,oscar_piastri,driver,22.3
2024_13,pierre_gasly,driver,9.9
2024_13,sergio_perez,driver,22.7
2024_13,valtteri_bottas,driver,7.7
2024_13,yuki_tsunoda,driver,10.5
2024_13,guanyu_zhou,driver,7.5
2024_13,alpine,constructor,9.9
2024_13,aston_martin,constructor,15.4
2024_13,ferrari,constructor,23.1
2024_13,haas,constructor,10.4
2024_13,kick_sauber,constructor,7
2024_13,mclaren,constructor,25.8
2024_13,mercedes,constructor,22.6
2024_13,racing_bulls,constructor,10.7
2024_13,red_bull,constructor,29
2024_13,williams,constructor,6.6
