race_id,asset_id,asset_type,price
2024_02,alexander_albon,driver,6.8
2024_02,charles_leclerc,driver,19.4
2024_02,daniel_ricciardo,driver,8.9
2024_02,esteban_ocon,driver,8.3
2024_02,fernando_alonso,driver,15.9
2024_02,george_russell,driver,19.1
2024_02,kevin_magnussen,driver,6.7
2024_02,lance_stroll,driver,11.2
2024_02,lando_norris,driver,23.1
2024_02,lewis_hamilton,driver,19.4
2024_02,logan_sargeant,driver,5.4
2024_02,max_verstappen,driver,30.2
2024_02,nico_hulkenberg,driver,6.2
2024_02,oliver_bearman,driver,15
2024_02,oscar_piastri,driver,19.1
2024_02,pierre_gasly,driver,7.7
2024_02,sergio_perez,driver,21.1
2024_02,valtteri_bottas,driver,6.2
2024_02,yuki_tsunoda,driver,7.8
2024_02,guanyu_zhou,driver,7.1
2024_02,alpine,constructor,8.3
2024_02,aston_martin,constructor,14.1
2024_02,ferrari,constructor,19.6
2024_02,haas,constructor,6.2
2024_02,kick_sauber,constructor,6.5
2024_02,mclaren,constructor,23.3
2024_02,mercedes,constructor,20.2
2024_02,racing_bulls,constructor,8.4
2024_02,red_bull,constructor,28
2024_02,williams,constructor,6.2
