race_id,asset_id,asset_type,price
2025_12,alexander_albon,driver,11.8
2025_12,andrea_kimi_antonelli,driver,17.7
2025_12,carlos_sainz,driver,7.7
2025_12,charles_leclerc,driver,24.4
2025_12,esteban_ocon,driver,8.3
2025_12,fernando_alonso,driver,5.7
2025_12,franco_colapinto,driver,4.9
2025_12,gabriel_bortoleto,driver,5.1
2025_12,george_russell,driver,22.3
2025_12,isack_hadjar,driver,6.9
2025_12,lance_stroll,driver,7.9
2025_12,lando_norris,driver,30.9
2025_12,lewis_hamilton,driver,23.5
2025_12,liam_lawson,driver,4.5
2025_12,max_verstappen,driver,28.9
2025_12,nico_hulkenberg,driver,7.8
2025_12,oliver_bearman,driver,6.9
2025_12,oscar_piastri,driver,25.5
2025_12,pierre_gasly,driver,6
2025_12,yuki_tsunoda,driver,13
2025_12,alpine,constructor,8.9
2025_12,aston_martin,constructor,9.5
2025_12,ferrari,constructor,29.4
2025_12,haas,constructor,10.8
2025_12,kick_sauber,constructor,7.5
2025_12,mclaren,constructor,33.3
2025_12,mercedes,constructor,25
2025_12,racing_bulls,constructor,13
2025_12,red_bull,constructor,27.9
2025_12,williams,constructor,16.1
