race_id,asset_id,asset_type,price
2026_06,alexander_albon,driver,9
2026_06,fernando_alonso,driver,7.4
2026_06,andrea_kimi_antonelli,driver,24.7
2026_06,oliver_bearman,driver,8.8
2026_06,gabriel_bortoleto,driver,5.4
2026_06,valtteri_bottas,driver,4.5
2026_06,franco_colapinto,driver,8.8
2026_06,pierre_gasly,driver,12.2
2026_06,isack_hadjar,driver,12.1
2026_06,lewis_hamilton,driver,23.6
2026_06,nico_hulkenberg,driver,3.8
2026_06,liam_lawson,driver,7.9
2026_06,charles_leclerc,driver,24.1
2026_06,arvid_lindblad,driver,6.4
2026_06,lando_norris,driver,26.5
2026_06,esteban_ocon,driver,9.9
2026_06,sergio_perez,driver,7
2026_06,oscar_piastri,driver,25
2026_06,george_russell,driver,28.5
2026_06,carlos_sainz,driver,12.8
2026_06,lance_stroll,driver,5.4
2026_06,max_verstappen,driver,28.4
2026_06,alpine,constructor,15.5
2026_06,aston_martin,constructor,7.3
2026_06,audi,constructor,4.4
2026_06,cadillac,constructor,6.2
2026_06,ferrari,constructor,24.8
2026_06,haas,constructor,10.4
2026_06,mclaren,constructor,29.2
2026_06,mercedes,constructor,30.8
2026_06,racing_bulls,constructor,9.3
2026_06,red_bull,constructor,29.3
2026_06,williams,constructor,15
