driver_id,race_overtakes
alexander_albon,10
carlos_sainz,15
charles_leclerc,11
daniel_ricciardo,2
esteban_ocon,19
fernando_alonso,15
george_russell,12
kevin_magnussen,10
lance_stroll,10
lando_norris,15
lewis_hamilton,14
logan_sargeant,1
max_verstappen,11
nico_hulkenberg,9
oscar_piastri,14
pierre_gasly,15
sergio_perez,11
valtteri_bottas,10
yuki_tsunoda,14
zhou_guanyu,11
